date_id,year,month,day
2024-01-01,2024,1,1
2024-01-02,2024,1,2
2024-01-03,2024,1,3
2024-01-04,2024,1,4
2024-01-05,2024,1,5
2024-01-06,2024,1,6
2024-01-07,2024,1,7
2024-01-08,2024,1,8
2024-01-09,2024,1,9
2024-01-10,2024,1,10
2024-01-11,2024,1,11
2024-01-12,2024,1,12
2024-01-13,2024,1,13
2024-01-14,2024,1,14
2024-01-15,2024,1,15
2024-01-16,2024,1,16
2024-01-17,2024,1,17
2024-01-18,2024,1,18
2024-01-19,2024,1,19
2024-01-20,2024,1,20
2024-01-21,2024,1,21
2024-01-22,2024,1,22
2024-01-23,2024,1,23
2024-01-24,2024,1,24
2024-01-25,2024,1,25
2024-01-26,2024,1,26
2024-01-27,2024,1,27
2024-01-28,2024,1,28
2024-01-29,2024,1,29
2024-01-30,2024,1,30
2024-02-01,2024,2,1
2024-02-02,2024,2,2
2024-02-03,2024,2,3
2024-02-04,2024,2,4
2024-02-05,2024,2,5
2024-02-06,2024,2,6
2024-02-07,2024,2,7
2024-02-08,2024,2,8
2024-02-09,2024,2,9
2024-02-10,2024,2,10
2024-02-11,2024,2,11
2024-02-12,2024,2,12
2024-02-13,2024,2,13
2024-02-14,2024,2,14
2024-02-15,2024,2,15
2024-02-16,2024,2,16
2024-02-17,2024,2,17
2024-02-18,2024,2,18
2024-02-19,2024,2,19
2024-02-20,2024,2,20
